Day,TimeSlot,Order_Volume,Laddoos_Orders,Jalebis_Orders
1,Morning,34,18,16
1,Afternoon,28,13,15
1,Evening,35,14,21
1,Night,15,7,8
2,Morning,23,10,13
2,Afternoon,17,8,9
2,Evening,38,21,17
2,Night,18,8,10
3,Morning,27,16,11
3,Afternoon,14,6,8
3,Evening,36,19,17
3,Night,12,5,7
4,Morning,26,11,15
4,Afternoon,25,12,13
4,Evening,30,13,17
4,Night,10,4,6
5,Morning,26,14,12
5,Afternoon,22,9,13
5,Evening,41,22,19
5,Night,12,5,7
6,Morning,27,15,12
6,Afternoon,16,9,7
6,Evening,35,18,17
6,Night,18,7,11
7,Morning,25,14,11
7,Afternoon,16,7,9
7,Evening,33,18,15
7,Night,17,10,7
8,Morning,23,9,14
8,Afternoon,16,7,9
8,Evening,39,22,17
8,Night,15,7,8
9,Morning,28,16,12
9,Afternoon,17,6,11
9,Evening,32,18,14
9,Night,23,10,13
10,Morning,35,15,20
10,Afternoon,8,4,4
10,Evening,32,14,18
10,Night,22,9,13
11,Morning,31,13,18
11,Afternoon,22,11,11
11,Evening,43,18,25
11,Night,14,7,7
12,Morning,28,16,12
12,Afternoon,17,9,8
12,Evening,25,13,12
12,Night,23,11,12
13,Morning,33,14,19
13,Afternoon,19,9,10
13,Evening,36,18,18
13,Night,18,7,11
14,Morning,33,14,19
14,Afternoon,31,18,13
14,Evening,39,16,23
14,Night,16,8,8
15,Morning,33,18,15
15,Afternoon,27,12,15
15,Evening,33,16,17
15,Night,18,10,8
16,Morning,17,8,9
16,Afternoon,11,4,7
16,Evening,40,23,17
16,Night,15,6,9
17,Morning,34,18,16
17,Afternoon,23,12,11
17,Evening,41,22,19
17,Night,14,6,8
18,Morning,30,17,13
18,Afternoon,12,6,6
18,Evening,33,18,15
18,Night,11,4,7
19,Morning,36,18,18
19,Afternoon,14,5,9
19,Evening,44,24,20
19,Night,10,4,6
20,Morning,35,14,21
20,Afternoon,17,7,10
20,Evening,45,24,21
20,Night,15,6,9
21,Morning,36,18,18
21,Afternoon,20,11,9
21,Evening,33,14,19
21,Night,14,6,8
22,Morning,31,16,15
22,Afternoon,21,11,10
22,Evening,29,14,15
22,Night,10,5,5
23,Morning,35,19,16
23,Afternoon,20,9,11
23,Evening,30,15,15
23,Night,21,10,11
24,Morning,22,10,12
24,Afternoon,16,8,8
24,Evening,36,18,18
24,Night,8,4,4
25,Morning,27,16,11
25,Afternoon,13,7,6
25,Evening,39,17,22
25,Night,15,7,8
26,Morning,31,14,17
26,Afternoon,17,7,10
26,Evening,33,14,19
26,Night,9,3,6
27,Morning,20,10,10
27,Afternoon,14,7,7
27,Evening,33,18,15
27,Night,17,9,8
28,Morning,34,20,14
28,Afternoon,24,14,10
28,Evening,40,16,24
28,Night,22,13,9
29,Morning,35,19,16
29,Afternoon,16,6,10
29,Evening,33,19,14
29,Night,8,3,5
30,Morning,29,14,15
30,Afternoon,13,5,8
30,Evening,38,20,18
30,Night,21,11,10
